regulator	target	beta.sign.sum	beta.non.zero	var.exp.median	var.exp.ranksum	prior
BATF	MAF	-0.14744962	0.80145545	0.35124422	-1.18699309	0.3624851
IRF4	STAT3	-1.13529332	-2.15221767	-0.54835201	0.32264258	1.79197635
MAF		STAT3	-0.44503277	0.16963048	-1.03023442	1.58170087	0.45007383
RORC	BATF	-0.93527241	-1.02129023	-0.16281098	2.13969127	1.95552691
STAT3	Hif1a	-0.56327859	-0.01458774	-0.3846702	-1.12740784	1.39205306
Hif1a	Etv6	0.77437449	1.22973402	1.2824676	-0.07626864	-1.40843945
Etv6	STAT3	1.68944903	-0.6712968	-0.59557247	-0.80194377	0.63321367
Jmjd3	IRF4	-1.60554693	-1.61723015	0.04275169	0.08245235	0.30088911
BATF-Th0	BATF-Th17	0.67654134	-0.89147631	-0.30592747	0.12471922	-0.29708294
BATF-Th17	BATF-Th0	-1.15014348	-0.60372411	-0.51368292	-1.70836925	1.59656379
